DATE,CSUSHPISA
1987-01-01,63.989
1987-02-01,64.44800000000001
1987-03-01,64.76100000000001
1987-04-01,65.152
1987-05-01,65.582
1987-06-01,66.087
1987-07-01,66.51899999999999
1987-08-01,66.949
1987-09-01,67.343
1987-10-01,67.755
1987-11-01,68.123
1987-12-01,68.523
1988-01-01,68.874
1988-02-01,69.278
1988-03-01,69.656
1988-04-01,69.986
1988-05-01,70.433
1988-06-01,70.895
1988-07-01,71.361
1988-08-01,71.806
1988-09-01,72.247
1988-10-01,72.646
1988-11-01,73.083
1988-12-01,73.473
1989-01-01,73.954
1989-02-01,74.388
1989-03-01,74.786
1989-04-01,75.09
1989-05-01,75.31
1989-06-01,75.483
1989-07-01,75.663
1989-08-01,75.84
1989-09-01,76.059
1989-10-01,76.288
1989-11-01,76.53
1989-12-01,76.706
1990-01-01,76.896
1990-02-01,77.05199999999999
1990-03-01,77.20100000000001
1990-04-01,77.278
1990-05-01,77.296
1990-06-01,77.255
1990-07-01,77.13600000000001
1990-08-01,77.002
1990-09-01,76.842
1990-10-01,76.695
1990-11-01,76.372
1990-12-01,76.17699999999999
1991-01-01,75.908
1991-02-01,75.73
1991-03-01,75.569
1991-04-01,75.558
1991-05-01,75.76
1991-06-01,75.988
1991-07-01,76.074
1991-08-01,76.09899999999999
1991-09-01,76.183
1991-10-01,76.068
1991-11-01,76.021
1991-12-01,76.042
1992-01-01,76.078
1992-02-01,76.149
1992-03-01,76.27
1992-04-01,76.339
1992-05-01,76.392
1992-06-01,76.328
1992-07-01,76.264
1992-08-01,76.23
1992-09-01,76.238
1992-10-01,76.37899999999999
1992-11-01,76.568
1992-12-01,76.676
1993-01-01,76.78399999999999
1993-02-01,76.83800000000001
1993-03-01,76.868
1993-04-01,76.935
1993-05-01,77.03399999999999
1993-06-01,77.241
1993-07-01,77.429
1993-08-01,77.612
1993-09-01,77.795
1993-10-01,77.946
1993-11-01,78.15899999999999
1993-12-01,78.331
1994-01-01,78.595
1994-02-01,78.73100000000001
1994-03-01,78.859
1994-04-01,78.992
1994-05-01,79.227
1994-06-01,79.429
1994-07-01,79.60300000000001
1994-08-01,79.788
1994-09-01,79.925
1994-10-01,80.071
1994-11-01,80.158
1994-12-01,80.304
1995-01-01,80.434
1995-02-01,80.541
1995-03-01,80.611
1995-04-01,80.67399999999999
1995-05-01,80.717
1995-06-01,80.79899999999999
1995-07-01,80.95100000000001
1995-08-01,81.124
1995-09-01,81.322
1995-10-01,81.499
1995-11-01,81.637
1995-12-01,81.755
1996-01-01,81.85300000000001
1996-02-01,81.975
1996-03-01,82.213
1996-04-01,82.439
1996-05-01,82.62799999999999
1996-06-01,82.773
1996-07-01,82.95200000000001
1996-08-01,83.111
1996-09-01,83.28
1996-10-01,83.4
1996-11-01,83.575
1996-12-01,83.743
1997-01-01,83.978
1997-02-01,84.20299999999999
1997-03-01,84.473
1997-04-01,84.648
1997-05-01,84.889
1997-06-01,85.10799999999999
1997-07-01,85.359
1997-08-01,85.6
1997-09-01,85.87700000000001
1997-10-01,86.17399999999999
1997-11-01,86.65799999999999
1997-12-01,87.118
1998-01-01,87.645
1998-02-01,88.035
1998-03-01,88.47200000000001
1998-04-01,88.90700000000001
1998-05-01,89.391
1998-06-01,89.87100000000001
1998-07-01,90.336
1998-08-01,90.811
1998-09-01,91.28299999999999
1998-10-01,91.741
1998-11-01,92.22200000000001
1998-12-01,92.73200000000001
1999-01-01,93.235
1999-02-01,93.699
1999-03-01,94.243
1999-04-01,94.81200000000001
1999-05-01,95.37200000000001
1999-06-01,96.00200000000001
1999-07-01,96.618
1999-08-01,97.24600000000001
1999-09-01,97.891
1999-10-01,98.552
1999-11-01,99.184
1999-12-01,99.87100000000001
2000-01-01,100.555
2000-02-01,101.34100000000001
2000-03-01,102.12799999999999
2000-04-01,102.92299999999999
2000-05-01,103.677
2000-06-01,104.42399999999999
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.537
2000-10-01,107.382
2000-11-01,108.3
2000-12-01,109.135
2001-01-01,109.851
2001-02-01,110.50399999999999
2001-03-01,111.11
2001-04-01,111.65299999999999
2001-05-01,112.165
2001-06-01,112.79700000000001
2001-07-01,113.494
2001-08-01,114.17
2001-09-01,114.814
2001-10-01,115.31
2001-11-01,115.85600000000001
2001-12-01,116.45
2002-01-01,117.147
2002-02-01,117.84700000000001
2002-03-01,118.69
2002-04-01,119.61399999999999
2002-05-01,120.726
2002-06-01,121.814
2002-07-01,122.88799999999999
2002-08-01,123.831
2002-09-01,124.779
2002-10-01,125.73299999999999
2002-11-01,126.666
2002-12-01,127.619
2003-01-01,128.46200000000002
2003-02-01,129.357
2003-03-01,130.151
2003-04-01,130.886
2003-05-01,131.737
2003-06-01,132.65
2003-07-01,133.77700000000002
2003-08-01,134.969
2003-09-01,136.295
2003-10-01,137.534
2003-11-01,138.797
2003-12-01,140.181
2004-01-01,141.65
2004-02-01,143.195
2004-03-01,145.062
2004-04-01,146.594
2004-05-01,148.186
2004-06-01,149.851
2004-07-01,151.339
2004-08-01,152.636
2004-09-01,154.181
2004-10-01,155.753
2004-11-01,157.529
2004-12-01,159.333
2005-01-01,161.292
2005-02-01,163.349
2005-03-01,165.82
2005-04-01,167.505
2005-05-01,169.354
2005-06-01,171.19099999999997
2005-07-01,172.86
2005-08-01,174.44400000000002
2005-09-01,176.43900000000002
2005-10-01,178.03
2005-11-01,179.685
2005-12-01,180.915
2006-01-01,182.325
2006-02-01,183.291
2006-03-01,184.36900000000003
2006-04-01,184.332
2006-05-01,184.158
2006-06-01,183.511
2006-07-01,183.072
2006-08-01,182.601
2006-09-01,182.804
2006-10-01,183.204
2006-11-01,183.614
2006-12-01,184.142
2007-01-01,184.52
2007-02-01,184.6
2007-03-01,184.153
2007-04-01,183.013
2007-05-01,181.604
2007-06-01,180.25900000000001
2007-07-01,179.118
2007-08-01,178.12599999999998
2007-09-01,177.56599999999997
2007-10-01,176.63099999999997
2007-11-01,175.153
2007-12-01,174.345
2008-01-01,173.136
2008-02-01,171.544
2008-03-01,170.05599999999998
2008-04-01,168.342
2008-05-01,166.66400000000002
2008-06-01,165.024
2008-07-01,163.575
2008-08-01,161.998
2008-09-01,160.316
2008-10-01,158.333
2008-11-01,156.14600000000002
2008-12-01,153.622
2009-01-01,151.51
2009-02-01,150.018
2009-03-01,148.665
2009-04-01,147.954
2009-05-01,147.7
2009-06-01,148.093
2009-07-01,148.412
2009-08-01,148.276
2009-09-01,148.024
2009-10-01,147.851
2009-11-01,148.138
2009-12-01,147.934
2010-01-01,147.395
2010-02-01,145.631
2010-03-01,145.858
2010-04-01,146.4
2010-05-01,146.39
2010-06-01,145.716
2010-07-01,144.987
2010-08-01,143.908
2010-09-01,143.011
2010-10-01,142.524
2010-11-01,142.168
2010-12-01,142.061
2011-01-01,141.52700000000002
2011-02-01,140.356
2011-03-01,139.984
2011-04-01,140.006
2011-05-01,139.898
2011-06-01,139.855
2011-07-01,139.72899999999998
2011-08-01,139.306
2011-09-01,138.664
2011-10-01,137.947
2011-11-01,137.14600000000002
2011-12-01,136.66899999999998
2012-01-01,136.60399999999998
2012-02-01,136.531
2012-03-01,137.904
2012-04-01,139.154
2012-05-01,140.153
2012-06-01,141.02700000000002
2012-07-01,141.666
2012-08-01,142.275
2012-09-01,142.907
2012-10-01,143.602
2012-11-01,144.589
2012-12-01,145.505
2013-01-01,146.836
2013-02-01,147.775
2013-03-01,149.957
2013-04-01,151.52100000000002
2013-05-01,152.859
2013-06-01,154.205
2013-07-01,155.611
2013-08-01,156.976
2013-09-01,158.232
2013-10-01,159.24200000000002
2013-11-01,160.06799999999998
2013-12-01,160.994
2014-01-01,161.961
2014-02-01,162.54
2014-03-01,163.106
2014-04-01,163.41299999999998
2014-05-01,163.67700000000002
2014-06-01,164.067
2014-07-01,164.567
2014-08-01,165.21599999999998
2014-09-01,165.91099999999997
2014-10-01,166.65099999999998
2014-11-01,167.34799999999998
2014-12-01,168.078
2015-01-01,168.709
2015-02-01,169.176
2015-03-01,169.851
2015-04-01,170.34099999999998
2015-05-01,170.908
2015-06-01,171.477
2015-07-01,172.113
2015-08-01,172.94099999999997
2015-09-01,173.845
2015-10-01,174.82
2015-11-01,175.77599999999998
2015-12-01,176.59599999999998
2016-01-01,177.362
2016-02-01,177.709
2016-03-01,178.231
2016-04-01,178.822
2016-05-01,179.46099999999998
2016-06-01,180.1
2016-07-01,180.81900000000002
2016-08-01,181.87
2016-09-01,182.86599999999999
2016-10-01,183.808
2016-11-01,184.82
2016-12-01,185.792
2017-01-01,186.923
2017-02-01,187.42700000000002
2017-03-01,188.137
2017-04-01,188.889
2017-05-01,189.731
2017-06-01,190.578
2017-07-01,191.43599999999998
2017-08-01,192.695
2017-09-01,193.80599999999998
2017-10-01,194.864
2017-11-01,195.985
2017-12-01,197.18400000000003
2018-01-01,198.387
2018-02-01,199.35299999999998
2018-03-01,200.209
2018-04-01,200.993
2018-05-01,201.68
2018-06-01,202.41400000000002
2018-07-01,202.90900000000002
2018-08-01,203.72299999999998
2018-09-01,204.395
2018-10-01,205.168
2018-11-01,205.671
2018-12-01,206.085
2019-01-01,206.55
2019-02-01,206.983
2019-03-01,207.489
2019-04-01,208.14
2019-05-01,208.65400000000002
2019-06-01,209.065
2019-07-01,209.37599999999998
2019-08-01,210.169
2019-09-01,210.949
2019-10-01,211.799
2019-11-01,212.703
2019-12-01,213.65599999999998
2020-01-01,214.687
2020-02-01,215.702
2020-03-01,216.731
2020-04-01,217.597
2020-05-01,217.69099999999997
2020-06-01,218.058
