p,q,RMSE,AIC,BIC,convergence,stationarity
0,1,31.312861305253524,2826.347628665794,2837.661952035184,0.0,0.0
0,2,19.198142171685173,2861.1344879607573,2872.448811330148,0.0,81.0
0,3,19.198142171685173,2861.1344879607573,2872.448811330148,0.0,81.0
0,4,19.198142171685173,2861.1344879607573,2872.448811330148,0.0,81.0
1,0,0.7839053408709649,837.794938585767,849.1092619551569,0.0,0.0
1,1,26.196830881173188,533.3289174179674,548.4146819104874,0.0,64.0
1,2,25.822770433444276,332.7614505472583,351.6186561629083,0.0,63.0
1,3,24.84236987824039,266.5035351232891,289.1321818620692,0.0,62.0
1,4,24.39296200680801,206.10433439772743,232.50442225963752,1.0,63.0
2,0,0.18966789024440447,99.07554450155489,114.16130899407496,0.0,0.0
2,1,0.18840846731371472,99.58400473641485,118.44121035206496,0.0,0.0
2,2,0.18723199351758282,101.78004612272807,124.40869286150816,0.0,0.0
2,3,0.1871503921385118,99.68594408361909,126.08603194552921,0.0,0.0
2,4,0.18749808039316926,101.5187460484715,131.6902750335116,0.0,0.0
3,0,0.18826799537873914,100.0497900274378,118.90699564308787,0.0,0.0
3,1,0.9177278703674041,98.99170883240264,121.62035557118273,28.0,0.0
3,2,0.8248621764002642,99.86829265297828,126.26838051488835,27.0,0.0
3,3,0.8249126351730455,98.89942051601405,129.07094950105417,22.0,0.0
3,4,0.8498058850449325,100.62610266145128,134.5690727696214,23.0,0.0
4,0,0.24962783856665,114.08363731490998,136.71228405369004,2.0,0.0
4,1,6.602475961388194,100.86782504382033,127.22135190421032,29.0,0.0
4,2,17.490582471261877,104.40271959148927,134.24832156588852,43.0,0.0
4,3,1.0827611250608404,92.29532205761276,126.23829216578288,32.0,0.0
4,4,9.18170322608067,89.19737387909515,126.81866310735508,31.0,0.0
